build keys=1048576 fanout=16 records=16777216 hot=10485 capacity=178246 nocache=true elapsed_ms=320 rss_kib=3424 file_bytes=411500544 writes=2048
round=91 elapsed_us=7352 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=0 calls=92
round=92 elapsed_us=7797 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=93
round=93 elapsed_us=7281 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=0 calls=94
round=94 elapsed_us=7903 rss_kib=36160 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=95
round=95 elapsed_us=7331 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=96
round=96 elapsed_us=7779 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=97
round=97 elapsed_us=7442 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=98
round=98 elapsed_us=7960 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=99
round=99 elapsed_us=7508 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=100
round=100 elapsed_us=7788 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=101
round=101 elapsed_us=7302 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=102
round=102 elapsed_us=7827 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=103
round=103 elapsed_us=7450 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=104
round=104 elapsed_us=7784 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=105
round=105 elapsed_us=7289 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=106
round=106 elapsed_us=7868 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=107
round=107 elapsed_us=7589 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=108
round=108 elapsed_us=7708 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=109
round=109 elapsed_us=7369 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=110
round=110 elapsed_us=7904 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=111
round=111 elapsed_us=7293 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=112
round=112 elapsed_us=7783 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=113
round=113 elapsed_us=7470 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=114
round=114 elapsed_us=7980 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=115
round=115 elapsed_us=7277 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=116
round=116 elapsed_us=7996 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=117
round=117 elapsed_us=7459 rss_kib=36176 reads=0 read_bytes=0 writes=0 active_keys=0 calls=118
round=118 elapsed_us=7748 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=119
round=119 elapsed_us=7397 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=120
round=120 elapsed_us=7966 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=121
round=121 elapsed_us=7500 rss_kib=36192 reads=0 read_bytes=0 writes=0 active_keys=0 calls=122
