build keys=1048576 fanout=16 records=16777216 hot=10485 capacity=178246 nocache=true elapsed_ms=320 rss_kib=3296 file_bytes=411500544 writes=2048
round=132 elapsed_us=7862 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=133
round=133 elapsed_us=7440 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=134
round=134 elapsed_us=8009 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=135
round=135 elapsed_us=7439 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=136
round=136 elapsed_us=7928 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=137
round=137 elapsed_us=7472 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=138
round=138 elapsed_us=7964 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=139
round=139 elapsed_us=7462 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=140
round=140 elapsed_us=7952 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=141
round=141 elapsed_us=7473 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=142
round=142 elapsed_us=8004 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=143
round=143 elapsed_us=7464 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=144
round=144 elapsed_us=7957 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=145
round=145 elapsed_us=7465 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=146
round=146 elapsed_us=7957 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=147
round=147 elapsed_us=7454 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=148
round=148 elapsed_us=7912 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=149
round=149 elapsed_us=7272 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=150
round=150 elapsed_us=7770 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=151
round=151 elapsed_us=7288 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=152
round=152 elapsed_us=7767 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=153
round=153 elapsed_us=7425 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=154
round=154 elapsed_us=7852 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=155
round=155 elapsed_us=7514 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=0 calls=156
round=156 elapsed_us=7852 rss_kib=25488 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=157
round=157 elapsed_us=7415 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=158
round=158 elapsed_us=8070 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=159
round=159 elapsed_us=7269 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=160
round=160 elapsed_us=7966 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=161
round=161 elapsed_us=7263 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=162
round=162 elapsed_us=7855 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=163
round=163 elapsed_us=7609 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=164
round=164 elapsed_us=8081 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=165
round=165 elapsed_us=7592 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=166
round=166 elapsed_us=7770 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=167
round=167 elapsed_us=7430 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=168
round=168 elapsed_us=7730 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=169
round=169 elapsed_us=7221 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=170
round=170 elapsed_us=8020 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=171
round=171 elapsed_us=7458 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=172
round=172 elapsed_us=7980 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=173
round=173 elapsed_us=7265 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=174
round=174 elapsed_us=7914 rss_kib=25504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=175
